2023-05-15 00:55:23.862 | mainraceId | INFO  | 18396 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:634) : No active profile set, falling back to 1 default profile: "default"
2023-05-15 00:55:26.095 | mainraceId | INFO  | 18396 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 24335 (http)
2023-05-15 00:55:26.121 | mainraceId | INFO  | 18396 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing ProtocolHandler ["http-nio-24335"]
2023-05-15 00:55:26.121 | mainraceId | INFO  | 18396 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting service [Tomcat]
2023-05-15 00:55:26.122 | mainraceId | INFO  | 18396 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-05-15 00:55:26.311 | mainraceId | INFO  | 18396 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring embedded WebApplicationContext
2023-05-15 00:55:26.312 | mainraceId | INFO  | 18396 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:292) : Root WebApplicationContext: initialization completed in 2349 ms
2023-05-15 00:55:26.577 | mainraceId | INFO  | 18396 | main | com.uid939948.Service.impl.SetServiceImpl.init(SetServiceImpl.java:31) : openBrowser and port is 24335
2023-05-15 00:55:27.043 | mainraceId | INFO  | 18396 | main | org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping.<init>(WelcomePageHandlerMapping.java:53) : Adding welcome page: class path resource [static/index.html]
2023-05-15 00:55:27.302 | mainraceId | INFO  | 18396 | main | com.uid939948.config.DanmujiInitConfig.init(DanmujiInitConfig.java:72) : 读取配置文件成功
2023-05-15 00:55:27.520 | mainraceId | WARN  | 18396 | main | org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration.checkTemplateLocationExists(ThymeleafAutoConfiguration.java:103) : Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2023-05-15 00:55:27.678 | mainraceId | INFO  | 18396 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting ProtocolHandler ["http-nio-24335"]
2023-05-15 00:55:27.719 | mainraceId | INFO  | 18396 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 24335 (http) with context path ''
2023-05-15 00:55:27.748 | mainraceId | INFO  | 18396 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started FavoritesApplication in 5.111 seconds (JVM running for 6.885)
2023-05-15 00:55:27.830 | http-nio-24335-exec-1raceId | INFO  | 18396 | http-nio-24335-exec-1 | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-15 00:55:27.830 | http-nio-24335-exec-1raceId | INFO  | 18396 | http-nio-24335-exec-1 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-05-15 00:55:27.835 | http-nio-24335-exec-1raceId | INFO  | 18396 | http-nio-24335-exec-1 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 4 ms
2023-05-15 00:55:28.423 | http-nio-24335-exec-3raceId | INFO  | 18396 | http-nio-24335-exec-3 | com.uid939948.Service.impl.ClientServiceImpl.startConnService(ClientServiceImpl.java:67) : 房间号3961583 房间的 uid 939948 开播状态 未开播
2023-05-15 00:55:28.550 | http-nio-24335-exec-3raceId | INFO  | 18396 | http-nio-24335-exec-3 | com.uid939948.WebSocketClient.Websocket.<init>(Websocket.java:24) : 已尝试连接至服务器地址:wss://tx-gz-live-comet-05.chat.bilibili.com:443/sub;真实房间号为:3961583;主播名字为:春风十里不如一路有语
2023-05-15 00:55:28.705 | WebSocketConnectReadThread-40raceId | INFO  | 18396 | WebSocketConnectReadThread-40 | com.uid939948.WebSocketClient.Websocket.onOpen(Websocket.java:33) : websocket connect open(连接窗口打开)
2023-05-15 00:55:28.710 | http-nio-24335-exec-3raceId | INFO  | 18396 | http-nio-24335-exec-3 | com.uid939948.Service.impl.SetServiceImpl.changeSet(SetServiceImpl.java:210) : 保存配置文件成功
2023-05-15 00:55:29.551 | http-nio-24335-exec-3raceId | INFO  | 18396 | http-nio-24335-exec-3 | com.uid939948.Service.impl.ConfigServiceImpl.saveConfigRoomId(ConfigServiceImpl.java:39) : 保存配置文件成功
